the	6187927
of	2941790
and	2682878
to	2560346
a	2150885
in	1883295
that	1115382
it	1089559
is	998867
was	923975
i	905323
for	851723
on	724197
you	695595
he	681379
be	664780
with	652050
as	517788
by	513078
at	478178
have	473693
are	470949
this	463240
not	462777
but	456072
had	445396
his	433599
they	433475
from	413535
she	380284
which	372034
or	370855
we	358792
an	344046
there	327968
her	327014
were	322832
one	291402
do	280702
been	268723
all	262447
their	260919
has	259443
would	255198
will	254566
what	249481
if	237107
can	236321
when	214281
so	212158
no	209943
said	209534
who	206627
more	201864
about	197116
up	185113
them	173418
some	171368
could	168392
him	165016
into	163470
its	163106
then	160826
two	156114
out	155352
time	154981
like	153847
only	152906
my	152626
did	143429
other	142140
me	139028
your	138337
now	137814
over	132276
just	129550
may	128513
these	125444
new	125206
also	124885
people	124158
any	124108
know	123275
very	123087
see	118772
first	118700
well	117459
after	117138
should	111237
than	108846
where	108621
back	102327
how	101517
get	99506
most	98759
way	96280
down	96025
our	95006
made	94386
got	93199
much	92142
think	91855
work	91354
between	90664
go	90542
years	90224
er	90078
many	89660
being	89068
those	88863
before	88275
right	87633
because	85185
through	84076
good	80795
three	79812
make	79481
us	78198
such	75524
still	74773
year	73778
must	72571
last	72182
even	72077
take	71735
own	71143
too	70169
off	70166
here	69952
come	69525
both	68806
does	68741
say	68535
oh	68437
used	66970
going	66414
erm	63198
use	62932
government	62268
day	62256
man	62098
might	61811
same	61409
under	61033
yes	60612
however	60498
put	59635
world	59031
another	58188
want	57547
thought	56883
while	56642
life	56628
again	56231
against	56208
never	55899
need	55791
old	54610
look	54366
home	52459
something	52452
mr	52399
long	51479
house	50926
why	50877
each	50797
part	50467
since	50219
end	49652
number	49385
found	48923
place	48651
different	48374
went	48338
little	48101
really	48090
'	47416
came	47172
left	47089
children	46608
local	46363
within	46274
always	46228
without	46180
four	46125
around	45286
great	45217
give	45117
set	45043
system	44674
small	44452
mean	44098
during	44013
although	43637
case	43284
next	43145
things	42431
find	42302
social	42269
given	41864
group	41547
second	41454
quite	41170
until	40785
five	40739
party	40306
point	40274
every	40137
company	40118
women	39916
says	39774
later	39496
important	39265
took	39160
state	39112
high	38928
men	38892
away	38747
information	38659
1	38384
public	38005
help	37976
head	37906
national	37745
often	37642
seen	37624
school	37541
money	37367
told	37236
fact	36971
night	36529
further	36274
better	35972
british	35793
business	35758
less	35672
taken	35554
done	35473
hand	35352
having	35275
thing	35211
looked	35178
london	35159
area	35144
water	35078
perhaps	35040
face	34978
best	34905
mm	34790
form	34509
family	34488
general	34425
2	34401
though	34389
already	34292
possible	34178
